New York Knicks,Portland Trail Blazers,2.53,1.56
Milwaukee Bucks,Minnesota Timberwolves,1.02,16.78
Los Angeles Lakers,Phoenix Suns,1.15,5.94
Cleveland Cavaliers,Charlotte Hornets,1.8,2.07
Indiana Pacers,Denver Nuggets,1.9,1.95
Miami Heat,Toronto Raptors,1.45,2.86
Chicago Bulls,Utah Jazz,2.37,1.63
Minnesota Timberwolves,Golden State Warriors,1.62,2.38
Dallas Mavericks,Brooklyn Nets,1.31,3.61
San Antonio Spurs,Oklahoma City Thunder,1.74,2.15
Sacramento Kings,Memphis Grizzlies,1.51,2.67
Los Angeles Clippers,Detroit Pistons,1.11,7.35
Orlando Magic,Miami Heat,2.01,1.85
Washington Wizards,Portland Trail Blazers,2.79,1.44
Houston Rockets,Philadelphia 76ers,1.55,2.48
Phoenix Suns,New York Knicks,1.44,2.83
Los Angeles Lakers,New Orleans Pelicans,1.15,5.79
